Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Care guide (product.metafields.descriptors.care_guide),Care instructions (product.metafields.shopify.care-instructions),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
001-black-tshirt,#001 Black T-shirt,"<p>Graphic tees built for risk, style and story. Our exclusive drops reflect the culture of the streets, the skate park and everything in-between.</p><p>Available in sizes XS through XXL. Premium quality materials. Limited edition design.</p><p><em>Only at The Kiosk.</em></p><br><br><p><strong>Delivery Information:</strong></p>
<p>Free shipping in the EU. Limited stock. Once it drops—it's gone.</p>
<ul>
<li>Standard shipping: 5-7 business days</li>
<li>Express shipping: 2-3 business days (additional fee)</li>
<li>International shipping available</li>
<li>Track your order through our shipping partner</li>
</ul>",The Kiosk,,T-shirts,T-Shirts,true,Size,XS,,,,,,,,001-black-tshirt-xs,0,shopify,deny,manual,39.99,,true,true,,,,,,https://cdn.prod.website-files.com/68cc5218804d49fba2fc73a1/69223bf1fd1b5ee76eac1e08_kiosk-placeholder-product-img.webp,1.0,#001 Black T-shirt,false,#001 Black T-shirt,Shop #001 Black T-shirt at Only at The Kiosk. Limited edition design.,"Machine wash cold with like colors
Do not bleach
Tumble dry low or hang dry
Iron on low heat if needed (avoid direct heat on graphics)
Do not dry clean
Wash inside out to preserve graphics
Remove promptly from dryer to prevent wrinkles
Avoid fabric softeners on printed areas",,,g,,,active
001-black-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,S,,,,,,,,001-black-tshirt-s,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 Black T-shirt,false,#001 Black T-shirt,Shop #001 Black T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-black-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,M,,,,,,,,001-black-tshirt-m,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 Black T-shirt,false,#001 Black T-shirt,Shop #001 Black T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-black-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,L,,,,,,,,001-black-tshirt-l,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 Black T-shirt,false,#001 Black T-shirt,Shop #001 Black T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-black-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,XL,,,,,,,,001-black-tshirt-xl,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 Black T-shirt,false,#001 Black T-shirt,Shop #001 Black T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-black-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,XXL,,,,,,,,001-black-tshirt-xxl,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 Black T-shirt,false,#001 Black T-shirt,Shop #001 Black T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-white-tshirt,#001 White T-shirt,"<p>Graphic tees built for risk, style and story. Our exclusive drops reflect the culture of the streets, the skate park and everything in-between.</p><p>Available in sizes XS through XXL. Premium quality materials. Limited edition design.</p><p><em>Only at The Kiosk.</em></p><br><br><p><strong>Delivery Information:</strong></p>
<p>Free shipping in the EU. Limited stock. Once it drops—it's gone.</p>
<ul>
<li>Standard shipping: 5-7 business days</li>
<li>Express shipping: 2-3 business days (additional fee)</li>
<li>International shipping available</li>
<li>Track your order through our shipping partner</li>
</ul>",The Kiosk,,T-shirts,T-Shirts,true,Size,XS,,,,,,,,001-white-tshirt-xs,0,shopify,deny,manual,39.99,,true,true,,,,,,https://cdn.prod.website-files.com/68cc5218804d49fba2fc73a1/69223bf1fd1b5ee76eac1e08_kiosk-placeholder-product-img.webp,1.0,#001 White T-shirt,false,#001 White T-shirt,Shop #001 White T-shirt at Only at The Kiosk. Limited edition design.,"Machine wash cold with like colors
Do not bleach
Tumble dry low or hang dry
Iron on low heat if needed (avoid direct heat on graphics)
Do not dry clean
Wash inside out to preserve graphics
Remove promptly from dryer to prevent wrinkles
Avoid fabric softeners on printed areas",,,g,,,active
001-white-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,S,,,,,,,,001-white-tshirt-s,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 White T-shirt,false,#001 White T-shirt,Shop #001 White T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-white-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,M,,,,,,,,001-white-tshirt-m,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 White T-shirt,false,#001 White T-shirt,Shop #001 White T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-white-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,L,,,,,,,,001-white-tshirt-l,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 White T-shirt,false,#001 White T-shirt,Shop #001 White T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-white-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,XL,,,,,,,,001-white-tshirt-xl,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 White T-shirt,false,#001 White T-shirt,Shop #001 White T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
001-white-tshirt,,,The Kiosk,,T-shirts,T-Shirts,true,Size,XXL,,,,,,,,001-white-tshirt-xxl,0,shopify,deny,manual,39.99,,true,true,,,,,,,,#001 White T-shirt,false,#001 White T-shirt,Shop #001 White T-shirt at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-gold-chain,#002 Gold Chain,"<p>Bold, raw and refined. Each piece crafted for the multi-sport rebel. This exclusive design from Only at The Kiosk represents the perfect blend of style and functionality.</p><p>Available in Small, Medium, and Large sizes. Limited edition. Once it drops—it's gone.</p><p><em>Only at The Kiosk.</em></p><br><br><p><strong>Delivery Information:</strong></p>
<p>Free shipping in the EU. Limited stock. Once it drops—it's gone.</p>
<ul>
<li>Standard shipping: 5-7 business days</li>
<li>Express shipping: 2-3 business days (additional fee)</li>
<li>International shipping available</li>
<li>Track your order through our shipping partner</li>
</ul>",The Kiosk,,Chains,"Gold, Chains",true,Size,Small,,,,,,,,002-gold-chain-small,0,shopify,deny,manual,79.99,,true,true,,,,,,https://cdn.prod.website-files.com/68cc5218804d49fba2fc73a1/69223bf1fd1b5ee76eac1e08_kiosk-placeholder-product-img.webp,1.0,#002 Gold Chain,false,#002 Gold Chain,Shop #002 Gold Chain at Only at The Kiosk. Limited edition design.,"Store in a cool, dry place when not in use
Avoid contact with harsh chemicals, perfumes, or lotions
Clean gently with a soft, dry cloth
Remove before swimming or showering
Store separately to prevent scratching
For gold pieces, use appropriate cleaning solution if needed
Polish regularly to maintain shine
Avoid exposure to extreme temperatures
Keep away from abrasive surfaces",,,g,,,active
002-gold-chain,,,The Kiosk,,Chains,"Gold, Chains",true,Size,Medium,,,,,,,,002-gold-chain-medium,0,shopify,deny,manual,79.99,,true,true,,,,,,,,#002 Gold Chain,false,#002 Gold Chain,Shop #002 Gold Chain at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-gold-chain,,,The Kiosk,,Chains,"Gold, Chains",true,Size,Large,,,,,,,,002-gold-chain-large,0,shopify,deny,manual,79.99,,true,true,,,,,,,,#002 Gold Chain,false,#002 Gold Chain,Shop #002 Gold Chain at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-silver-chain,#002 Silver Chain,"<p>Bold, raw and refined. Each piece crafted for the multi-sport rebel. This exclusive design from Only at The Kiosk represents the perfect blend of style and functionality.</p><p>Available in Small, Medium, and Large sizes. Limited edition. Once it drops—it's gone.</p><p><em>Only at The Kiosk.</em></p><br><br><p><strong>Delivery Information:</strong></p>
<p>Free shipping in the EU. Limited stock. Once it drops—it's gone.</p>
<ul>
<li>Standard shipping: 5-7 business days</li>
<li>Express shipping: 2-3 business days (additional fee)</li>
<li>International shipping available</li>
<li>Track your order through our shipping partner</li>
</ul>",The Kiosk,,Chains,"Silver, Chains",true,Size,Small,,,,,,,,002-silver-chain-small,0,shopify,deny,manual,69.99,,true,true,,,,,,https://cdn.prod.website-files.com/68cc5218804d49fba2fc73a1/69223bf1fd1b5ee76eac1e08_kiosk-placeholder-product-img.webp,1.0,#002 Silver Chain,false,#002 Silver Chain,Shop #002 Silver Chain at Only at The Kiosk. Limited edition design.,"Store in a cool, dry place when not in use
Avoid contact with harsh chemicals, perfumes, or lotions
Clean gently with a soft, dry cloth
Remove before swimming or showering
Store separately to prevent scratching
For silver pieces, use appropriate cleaning solution if needed
Polish regularly to maintain shine
Avoid exposure to extreme temperatures
Keep away from abrasive surfaces",,,g,,,active
002-silver-chain,,,The Kiosk,,Chains,"Silver, Chains",true,Size,Medium,,,,,,,,002-silver-chain-medium,0,shopify,deny,manual,69.99,,true,true,,,,,,,,#002 Silver Chain,false,#002 Silver Chain,Shop #002 Silver Chain at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-silver-chain,,,The Kiosk,,Chains,"Silver, Chains",true,Size,Large,,,,,,,,002-silver-chain-large,0,shopify,deny,manual,69.99,,true,true,,,,,,,,#002 Silver Chain,false,#002 Silver Chain,Shop #002 Silver Chain at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-gold-bracelet,#002 Gold Bracelet,"<p>Bold, raw and refined. Each piece crafted for the multi-sport rebel. This exclusive design from Only at The Kiosk represents the perfect blend of style and functionality.</p><p>Available in Small, Medium, and Large sizes. Limited edition. Once it drops—it's gone.</p><p><em>Only at The Kiosk.</em></p><br><br><p><strong>Delivery Information:</strong></p>
<p>Free shipping in the EU. Limited stock. Once it drops—it's gone.</p>
<ul>
<li>Standard shipping: 5-7 business days</li>
<li>Express shipping: 2-3 business days (additional fee)</li>
<li>International shipping available</li>
<li>Track your order through our shipping partner</li>
</ul>",The Kiosk,,Bracelets,"Gold, Bracelets",true,Size,Small,,,,,,,,002-gold-bracelet-small,0,shopify,deny,manual,59.99,,true,true,,,,,,https://cdn.prod.website-files.com/68cc5218804d49fba2fc73a1/69223bf1fd1b5ee76eac1e08_kiosk-placeholder-product-img.webp,1.0,#002 Gold Bracelet,false,#002 Gold Bracelet,Shop #002 Gold Bracelet at Only at The Kiosk. Limited edition design.,"Store in a cool, dry place when not in use
Avoid contact with harsh chemicals, perfumes, or lotions
Clean gently with a soft, dry cloth
Remove before swimming or showering
Store separately to prevent scratching
For gold pieces, use appropriate cleaning solution if needed
Polish regularly to maintain shine
Avoid exposure to extreme temperatures
Keep away from abrasive surfaces",,,g,,,active
002-gold-bracelet,,,The Kiosk,,Bracelets,"Gold, Bracelets",true,Size,Medium,,,,,,,,002-gold-bracelet-medium,0,shopify,deny,manual,59.99,,true,true,,,,,,,,#002 Gold Bracelet,false,#002 Gold Bracelet,Shop #002 Gold Bracelet at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-gold-bracelet,,,The Kiosk,,Bracelets,"Gold, Bracelets",true,Size,Large,,,,,,,,002-gold-bracelet-large,0,shopify,deny,manual,59.99,,true,true,,,,,,,,#002 Gold Bracelet,false,#002 Gold Bracelet,Shop #002 Gold Bracelet at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-silver-bracelet,#002 Silver Bracelet,"<p>Bold, raw and refined. Each piece crafted for the multi-sport rebel. This exclusive design from Only at The Kiosk represents the perfect blend of style and functionality.</p><p>Available in Small, Medium, and Large sizes. Limited edition. Once it drops—it's gone.</p><p><em>Only at The Kiosk.</em></p><br><br><p><strong>Delivery Information:</strong></p>
<p>Free shipping in the EU. Limited stock. Once it drops—it's gone.</p>
<ul>
<li>Standard shipping: 5-7 business days</li>
<li>Express shipping: 2-3 business days (additional fee)</li>
<li>International shipping available</li>
<li>Track your order through our shipping partner</li>
</ul>",The Kiosk,,Bracelets,"Silver, Bracelets",true,Size,Small,,,,,,,,002-silver-bracelet-small,0,shopify,deny,manual,49.99,,true,true,,,,,,https://cdn.prod.website-files.com/68cc5218804d49fba2fc73a1/69223bf1fd1b5ee76eac1e08_kiosk-placeholder-product-img.webp,1.0,#002 Silver Bracelet,false,#002 Silver Bracelet,Shop #002 Silver Bracelet at Only at The Kiosk. Limited edition design.,"Store in a cool, dry place when not in use
Avoid contact with harsh chemicals, perfumes, or lotions
Clean gently with a soft, dry cloth
Remove before swimming or showering
Store separately to prevent scratching
For silver pieces, use appropriate cleaning solution if needed
Polish regularly to maintain shine
Avoid exposure to extreme temperatures
Keep away from abrasive surfaces",,,g,,,active
002-silver-bracelet,,,The Kiosk,,Bracelets,"Silver, Bracelets",true,Size,Medium,,,,,,,,002-silver-bracelet-medium,0,shopify,deny,manual,49.99,,true,true,,,,,,,,#002 Silver Bracelet,false,#002 Silver Bracelet,Shop #002 Silver Bracelet at Only at The Kiosk. Limited edition design.,,,,g,,,active
002-silver-bracelet,,,The Kiosk,,Bracelets,"Silver, Bracelets",true,Size,Large,,,,,,,,002-silver-bracelet-large,0,shopify,deny,manual,49.99,,true,true,,,,,,,,#002 Silver Bracelet,false,#002 Silver Bracelet,Shop #002 Silver Bracelet at Only at The Kiosk. Limited edition design.,,,,g,,,active
